Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
211081097,"The Endless War (The Bridge Kingdom, #4)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593975278""","=""9780593975275""",0,Del Rey,Paperback,576,2025,2023,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#54), adult (#65), not-bought (#118), romantasy (#64)",to-read,,,,0,0
61160899,"The Calm Before the Storm (The Bridge Kingdom, #3.5)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""""","=""""",0,Danielle L. Jensen,ebook,80,2022,2022,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#53), adult (#64), not-bought (#117), romantasy (#63)",to-read,,,,0,0
211081102,"The Inadequate Heir (The Bridge Kingdom, #3)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593975243""","=""9780593975244""",0,Del Rey,Paperback,688,2024,2022,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#52), adult (#63), not-bought (#116), romantasy (#62)",to-read,,,,0,0
211081092,"The Traitor Queen (The Bridge Kingdom, #2)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593975219""","=""9780593975213""",0,Del Rey,Paperback,416,2024,2020,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#51), adult (#62), not-bought (#115), romantasy (#61)",to-read,,,,0,0
211081101,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593975189""","=""9780593975183""",0,Del Rey,Paperback,448,2024,2018,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#83), adult (#61), not-bought (#114), romantasy (#60)",to-read,,,,1,0
203578793,"Spectacular (Caraval, #3.5)",Stephanie Garber,"Garber, Stephanie",Rosie Fowinkle,"=""1250893402""","=""9781250893406""",0,Flatiron Books,Hardcover,207,2024,2024,,2024/12/05,"to-read, not-bought, romantasy","to-read (#48), not-bought (#113), romantasy (#59)",to-read,,,,0,0
40381392,"Finale (Caraval, #3)",Stephanie Garber,"Garber, Stephanie",,"=""1250157668""","=""9781250157669""",0,Flatiron Books,Hardcover,478,2019,2019,,2024/12/05,"to-read, not-bought, romantasy","to-read (#45), not-bought (#112), romantasy (#58)",to-read,,,,0,0
36329818,"Legendary (Caraval, #2)",Stephanie Garber,"Garber, Stephanie",,"=""125009531X""","=""9781250095312""",0,Flatiron Books,Hardcover,451,2018,2018,,2024/12/05,"to-read, not-bought, romantasy","to-read (#46), not-bought (#111), romantasy (#57)",to-read,,,,0,0
27883214,"Caraval (Caraval, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250095255""","=""9781250095251""",0,Flatiron Books,Hardcover,407,2017,2016,,2024/12/05,"to-read, not-bought, romantasy","to-read (#47), not-bought (#110), romantasy (#56)",to-read,,,,0,0
62816044,"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,"Garber, Stephanie",,"=""1250851203""","=""9781250851208""",0,Flatiron,Hardcover,386,2023,2023,,2024/12/05,"to-read, not-bought, romantasy","to-read (#42), not-bought (#109), romantasy (#55)",to-read,,,,0,0
59808071,"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,"Garber, Stephanie",,"=""1250268427""","=""9781250268426""",0,Flatiron Books,Hardcover,416,2022,2022,,2024/12/05,"to-read, not-bought, romantasy","to-read (#43), not-bought (#108), romantasy (#54)",to-read,,,,0,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250268397""","=""9781250268396""",0,Flatiron Books,Hardcover,408,2021,2021,,2024/12/05,"to-read, not-bought, romantasy","to-read (#44), not-bought (#107), romantasy (#53)",to-read,,,,0,0
3422075,"Men of the Otherworld (Otherworld Stories, #1)",Kelley Armstrong,"Armstrong, Kelley",,"=""0553807099""","=""9780553807097""",0,Bantam,Hardcover,369,2009,2009,,2025/10/23,no,no (#6),no,,,,0,0
228256271,"Mate (Bride, #2)",Ali Hazelwood,"Hazelwood, Ali",,"=""0593955013""","=""9780593955017""",0,Berkley,Hardcover,450,2025,2025,,2025/10/23,"to-read, adult, not-bought, romantasy","to-read (#148), adult (#60), not-bought (#106), romantasy (#52)",to-read,,,,0,0
181344829,"Bride (Bride, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,Berkley,Kindle Edition,410,2024,2024,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#82), adult (#59), not-bought (#105), romantasy (#51)",to-read,,,,0,0
208301504,"Shadow & Storms (The Legends of Thezmarr, #4)",Helen Scheuerer,"Scheuerer, Helen",,"=""1922903183""","=""9781922903181""",0,Alchemy,Kindle Edition,420,2024,2024,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#41), adult (#58), not-bought (#104), romantasy (#50)",to-read,,,,0,0
199057100,"Fate & Furies (The Legends of Thezmarr, #3)",Helen Scheuerer,"Scheuerer, Helen",,"=""1922903175""","=""9781922903174""",0,Alchemy,Kindle Edition,466,2024,2024,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#40), adult (#57), not-bought (#103), romantasy (#49)",to-read,,,,0,0
123007281,"Vows & Ruins (The Legends of Thezmarr, #2)",Helen Scheuerer,"Scheuerer, Helen",,"=""1922903051""","=""9781922903051""",0,Alchemy,Kindle Edition,536,2023,2023,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#39), adult (#56), not-bought (#102), romantasy (#48)",to-read,,,,0,0
63905241,"Blood & Steel (The Legends of Thezmarr, #1)",Helen Scheuerer,"Scheuerer, Helen",,"=""1922903027""","=""9781922903020""",0,Alchemy,Kindle Edition,550,2023,2023,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#38), adult (#55), not-bought (#101), romantasy (#47)",to-read,,,,0,0
123206298,"Murtagh (The Inheritance Cycle, #5)",Christopher Paolini,"Paolini, Christopher",,"=""1774882965""","=""9781774882993""",0,Penguin Teen Canada,Kindle Edition,688,2023,2023,,2024/12/05,"to-read, fantasy, not-bought","to-read (#33), fantasy (#24), not-bought (#100)",to-read,,,,0,0
26152839,"The Fork, the Witch, and the Worm: Eragon (Tales from Alagaësia #1; The Inheritance Cycle World)",Christopher Paolini,"Paolini, Christopher",,"=""1984894889""","=""9781984894885""",0,Knopf Books for Young Readers,ebook,288,2018,2018,,2024/12/05,"to-read, fantasy, not-bought","to-read (#32), fantasy (#23), not-bought (#99)",to-read,,,,0,0
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,"=""0375856110""","=""9780375856112""",0,Alfred A. Knopf,Hardcover,849,2011,2011,,2024/12/05,"to-read, fantasy, not-bought","to-read (#31), fantasy (#22), not-bought (#98)",to-read,,,,0,0
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",0,Alfred A. Knopf,Hardcover,763,2008,2008,,2024/12/05,"to-read, fantasy, not-bought","to-read (#30), fantasy (#21), not-bought (#97)",to-read,,,,0,0
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",,"=""0375840400""","=""9780375840401""",0,Knopf Books for Young Readers,Paperback,704,2007,2005,,2024/12/05,"to-read, fantasy, not-bought","to-read (#29), fantasy (#20), not-bought (#96)",to-read,,,,0,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",0,Alfred A. Knopf,Paperback,503,2005,2002,,2024/12/05,"to-read, fantasy, not-bought","to-read (#28), fantasy (#19), not-bought (#95)",to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5.0,Ecco,Paperback,408,2012,2011,2024/11/11,2024/12/05,"bought, greek, romantasy","bought (#9), greek (#12), romantasy (#46)",read,,,,1,0
