Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",3.0,Scholastic Press,Hardcover,374,2008,2008,2024/03/14,2024/12/05,"dystopian, bought","dystopian (#3), bought (#32)",read,,,,1,0
53439886,"How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5)",Holly Black,"Black, Holly",,"=""""","=""9780316540827""",5.0,"Little, Brown Books for Young Readers",ebook,200,2020,2020,2024/05/01,2024/12/05,"not-bought, romantasy","not-bought (#23), romantasy (#5)",read,,,,1,0
61198133,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"Black, Holly",,"=""0316592706""","=""9780316592703""",5.0,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,2024/05/10,2024/12/05,"romantasy, bought","romantasy (#6), bought (#42)",read,,,,1,0
61250159,"The Prisoner’s Throne (The Stolen Heir Duology, #2)",Holly Black,"Black, Holly",,"=""0316592730""","=""9780316592734""",5.0,"Little, Brown",Kindle Edition,359,2024,2024,2024/05/12,2024/12/05,"not-bought, romantasy","not-bought (#24), romantasy (#7)",read,,,,1,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",3.0,HarperCollins Children's Books,Hardcover,525,2012,2012,2025/06/09,2024/12/05,"not-bought, dystopian","not-bought (#51), dystopian (#31)",read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",4.0,Katherine Tegen Books,Paperback,487,2012,2011,2025/06/08,2024/12/05,"not-bought, dystopian","not-bought (#50), dystopian (#30)",read,,,,1,0
203840597,"Powerful (The Powerless Trilogy, #1.5)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",5.0,Simon & Schuster Children's UK,Kindle Edition,272,2024,2024,2024/11/30,2024/12/05,"not-bought, dystopian, romantasy","not-bought (#2), dystopian (#16), romantasy (#11)",read,,,,1,0
13455782,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085506""","=""9780062085504""",4.0,HarperCollins,Paperback,338,2012,2011,2024/04/03,2024/12/05,"bought, dystopian","bought (#14), dystopian (#12)",read,,,,2,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",5.0,Scholastic Press,Kindle Edition,541,2020,2020,2024/04/20,2024/12/05,"bought, dystopian","bought (#21), dystopian (#1)",read,,,,1,0
214331246,Sunrise on the Reaping (The Hunger Games),Suzanne Collins,"Collins, Suzanne",,"=""1546171460""","=""9781546171461""",4.0,Scholastic Press,Hardcover,387,2025,2025,2025/07/24,2024/12/05,"dystopian, bought","dystopian (#2), bought (#31)",read,,,,1,0
51335759,"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,"Jackson, Holly",,"=""1405297751""","=""9781405297752""",5.0,Electric Monkey,Paperback,446,2020,2020,2024/04/24,2024/12/05,"bought, mystery","bought (#37), mystery (#3)",read,,,,1,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",4.0,Electric Monkey,Paperback,433,2019,2019,2024/04/22,2024/12/05,"bought, mystery","bought (#36), mystery (#2)",read,,,,1,0
56905097,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,"Jackson, Holly",,"=""0593379853""","=""9780593379851""",5.0,Delacorte Press,Hardcover,459,2021,2021,2024/04/25,2024/12/05,"bought, mystery","bought (#38), mystery (#4)",read,,,,1,0
26032912,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"Black, Holly",,"=""0316310409""","=""9780316310406""",4.0,"Little, Brown",ebook,321,2019,2019,2024/04/30,2024/12/05,"bought, romantasy","bought (#41), romantasy (#4)",read,,,,1,0
26032825,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"Black, Holly",,"=""0316310271""","=""9780316310277""",3.0,"Little, Brown Books for Young Readers",Hardcover,384,2018,2018,2024/04/28,2024/12/05,"bought, romantasy","bought (#39), romantasy (#1)",read,,,,1,0
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,"Black, Holly",,"=""0316310336""","=""9780316310338""",5.0,"Little, Brown Books for Young Readers",ebook,336,2019,2019,2024/04/30,2024/12/05,"bought, romantasy","bought (#40), romantasy (#3)",read,,,,1,0
61313902,Five Survive,Holly  Jackson,"Jackson, Holly",,"=""0755504402""","=""9780755504404""",4.0,Electric Monkey,Hardcover,391,2022,2022,2024/07/21,2024/12/05,"bought, mystery","bought (#8), mystery (#6)",read,,,,1,0
182484360,The Reappearance of Rachel Price,Holly  Jackson,"Jackson, Holly",,"=""0593374207""","=""9780593374207""",5.0,Delacorte Press,Hardcover,438,2024,2024,2024/07/12,2024/12/05,"bought, mystery","bought (#7), mystery (#5)",read,,,,1,0
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",4.0,,Kindle Edition,526,2023,2023,2024/11/29,2024/12/05,"bought, dystopian, romantasy","bought (#6), dystopian (#13), romantasy (#8)",read,,,,1,0
214907249,"Fearless (The Powerless Trilogy, #3)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",4.0,Simon & Schuster Children's UK,Kindle Edition,608,2025,2025,2025/04/18,2024/12/05,"bought, dystopian, romantasy","bought (#49), dystopian (#15), romantasy (#10)",read,,,,1,0
183086339,"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",5.0,Simon & Schuster Children's UK,Kindle Edition,396,2024,2024,2024/12/02,2024/12/05,"bought, dystopian, romantasy","bought (#48), dystopian (#14), romantasy (#9)",read,,,,2,0
63890168,"A God of Wrath & Lies (Pine Hollow, #1)",K.M. Moronova,"Moronova, K.M.",,"=""""","=""9798987184608""",0,K. M. Moronova,Paperback,358,2022,2022,,2025/10/22,"to-read, adult, romantasy, not-bought","to-read (#133), adult (#32), romantasy (#22), not-bought (#65)",to-read,,,,0,0
75336145,"A God of Death & Rest (Pine Hollow, #2)",K.M. Moronova,"Moronova, K.M.",,"=""""","=""""",0,,Kindle Edition,322,2023,,,2025/10/22,"to-read, adult, romantasy, not-bought","to-read (#134), adult (#33), romantasy (#23), not-bought (#64)",to-read,,,,0,0
153515452,"A Goddess of Life & Dawn (Pine Hollow, #3)",K.M. Moronova,"Moronova, K.M.",,"=""""","=""""",0,,Kindle Edition,282,2023,,,2025/10/22,"to-read, adult, romantasy, not-bought","to-read (#135), adult (#34), romantasy (#24), not-bought (#63)",to-read,,,,0,0
208495819,"Secrets of Alkrose (Alkrose Academy, #2)",K.M. Moronova,"Moronova, K.M.",,"=""""","=""""",0,,Kindle Edition,411,2024,,,2025/10/22,"to-read, not-bought, adult, romantasy","to-read (#132), not-bought (#60), adult (#31), romantasy (#21)",to-read,,,,0,0
155167312,"Of Deathless Shadows (Alkrose Academy, #1)",K.M. Moronova,"Moronova, K.M.",,"=""""","=""""",0,,Kindle Edition,336,2023,2023,,2025/10/22,"to-read, not-bought, adult, romantasy","to-read (#131), not-bought (#59), adult (#30), romantasy (#20)",to-read,,,,0,0
239829534,Once Written in Gilded Blood (Cruel Fates #2),K.M. Moronova,"Moronova, K.M.",,"=""1464279047""","=""9781464279041""",0,Bloom Books,Hardcover,317,2026,2026,,2025/10/22,"to-read, adult, not-bought, romantasy","to-read (#130), adult (#29), not-bought (#58), romantasy (#19)",to-read,,,,0,0
235371996,Once Upon a Demon's Heart (Cruel Fates #1),K.M. Moronova,"Moronova, K.M.",,"=""""","=""""",0,,Unknown Binding,,,2025,,2025/08/23,"to-read, adult, romantasy, not-bought","to-read (#115), adult (#28), romantasy (#18), not-bought (#57)",to-read,,,,0,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085530""","=""9780062085535""",5.0,HarperCollins ,Hardcover,480,2013,2013,2024/04/06,2024/12/05,"bought, dystopian","bought (#15), dystopian (#11)",read,,,,2,0
50659467,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575567""","=""9781635575569""",3.0,Bloomsbury Publishing,Paperback,419,2020,2015,2025/07/30,2024/12/05,"not-bought, adult, romantasy","not-bought (#54), adult (#24), romantasy (#17)",read,,,,1,0
53138095,"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,"Maas, Sarah J.",,"=""168119628X""","=""9781681196282""",0,Bloomsbury Publishing,Hardcover,757,2021,2021,,2024/12/05,"to-read, adult, bought, romantasy","to-read (#19), adult (#23), bought (#51), romantasy (#16)",to-read,,,,0,0
50659471,"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575621""","=""9781635575620""",0,Bloomsbury Publishing,Paperback,272,2020,2018,,2024/12/05,"to-read, adult, not-bought, romantasy","to-read (#18), adult (#22), not-bought (#53), romantasy (#15)",to-read,,,,0,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",0,Bloomsbury Publishing,Paperback,699,2020,2017,,2024/12/05,"to-read, adult, romantasy, not-bought","to-read (#17), adult (#21), romantasy (#14), not-bought (#52)",to-read,,,,0,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",0,Bloomsbury Publishing,Paperback,626,2020,2016,,2024/12/05,"to-read, adult, bought, romantasy","to-read (#16), adult (#20), bought (#50), romantasy (#13)",to-read,,,,0,0
33231785,"We Can Be Mended (Divergent, #3.5)",Veronica Roth,"Roth, Veronica",,"=""""","=""""",0,Katherine Tegen Books,ebook,29,2017,2017,,2025/10/22,"to-read, dystopian, not-bought","to-read (#127), dystopian (#29), not-bought (#49)",to-read,,,,0,0
13615258,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",Veronica Roth,"Roth, Veronica",,"=""006223742X""","=""9780062237422""",0,Katherine Tegen Books ,Kindle Edition,43,2012,2012,,2024/12/05,"to-read, dystopian, not-bought","to-read (#37), dystopian (#28), not-bought (#48)",to-read,,,,0,0
18126198,"Four: A Divergent Story Collection (Divergent, #0.1-0.4)",Veronica Roth,"Roth, Veronica",,"=""0062285688""","=""9780062285683""",0,Katherine Tegen Books,Paperback,285,2014,2014,,2024/12/05,"to-read, dystopian, not-bought","to-read (#36), dystopian (#27), not-bought (#47)",to-read,,,,0,0
21965351,Inside the Maze Runner: The Guide to the Glade,James Dashner,"Dashner, James",,"=""0553511084""","=""9780553511086""",0,Delacorte Books for Young Readers,Paperback,128,2014,2014,,2024/12/05,"to-read, dystopian, not-bought","to-read (#35), dystopian (#26), not-bought (#46)",to-read,,,,0,0
18111770,The Maze Runner Files,James Dashner,"Dashner, James",,"=""0385385412""","=""9780385385411""",0,Delacorte Press,ebook,50,2013,2013,,2024/12/05,"to-read, dystopian, not-bought","to-read (#34), dystopian (#25), not-bought (#45)",to-read,,,,0,0
23267628,"The Fever Code (The Maze Runner, #5)",James Dashner,"Dashner, James",,"=""0553513095""","=""9780553513097""",0,Delacorte Press,Hardcover,347,2016,2016,2024/12/25,2024/12/05,"not-bought, dystopian","not-bought (#44), dystopian (#24)",read,,,,1,0
13089710,"The Kill Order (The Maze Runner, #4)",James Dashner,"Dashner, James",,"=""0385742886""","=""9780385742887""",0,Delacorte Books for Young Readers,Hardcover,327,2012,2012,2024/12/23,2024/12/05,"not-bought, dystopian","not-bought (#43), dystopian (#23)",read,,,,1,0
53381768,"Crank Palace (The Maze Runner, #3.5)",James Dashner,"Dashner, James",Mark Deakins,"=""1705238785""","=""9781705238783""",5.0,Tantor Media Inc,Audio CD,0,2020,2020,2024/12/18,2024/12/05,"not-bought, dystopian","not-bought (#42), dystopian (#22)",read,,,,1,0
12878132,"Thomas’s First Memory of the Flare (The Maze Runner, #2.5)",James Dashner,"Dashner, James",,"=""""","=""""",3.0,Books-A-Million,ebook,4,2011,2011,2024/12/15,2024/12/15,"not-bought, dystopian","not-bought (#41), dystopian (#21)",read,,,,1,0
7864437,"The Death Cure (The Maze Runner, #3)",James Dashner,"Dashner, James",,"=""0385738773""","=""9780385738774""",5.0,Delacorte Books for Young Readers,Hardcover,325,2011,2011,2024/12/16,2024/12/05,"not-bought, dystopian","not-bought (#40), dystopian (#20)",read,,,,1,0
7631105,"The Scorch Trials (The Maze Runner, #2)",James Dashner,"Dashner, James",,"=""0385738757""","=""9780385738750""",5.0,Delacorte Press,Hardcover,362,2010,2010,2024/12/15,2024/12/05,"not-bought, dystopian","not-bought (#39), dystopian (#19)",read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,"=""0385737947""","=""9780385737944""",4.0,Delacorte Press,Hardcover,384,2009,2009,2024/12/13,2024/12/05,"not-bought, dystopian","not-bought (#38), dystopian (#18)",read,,,,1,0
220161171,"Fearful (The Powerless Trilogy, #3.5)",Lauren  Roberts,"Roberts, Lauren",,"=""166597107X""","=""9781665971072""",0,Simon & Schuster Books for Young Readers,Hardcover,211,2025,2025,,2025/10/22,"to-read, dystopian, romantasy, not-bought","to-read (#126), dystopian (#17), romantasy (#12), not-bought (#37)",to-read,,,,0,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,"=""006208559X""","=""9780062085597""",5.0,HarperCollins ,Kindle Edition,408,2014,2014,2024/04/06,2024/12/05,"bought, dystopian","bought (#16), dystopian (#10)",read,,,,2,0
34992959,"Defy Me (Shatter Me, #5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062676393""","=""9780062676399""",5.0,HarperTeen,Hardcover,357,2019,2019,2024/04/08,2024/12/05,"bought, dystopian","bought (#18), dystopian (#9)",read,,,,1,0
34992929,"Restore Me (Shatter Me, #4)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062676369""","=""9780062676368""",0,HarperCollins,Hardcover,448,2018,2018,2024/04/07,2024/12/05,"bought, dystopian","bought (#17), dystopian (#8)",read,,,,1,0
44054122,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"Mafi, Tahereh",,"=""006267644X""","=""9780062676443""",3.0,HarperCollins,ebook,450,2020,2020,2024/04/09,2024/12/05,"bought, dystopian","bought (#19), dystopian (#7)",read,,,,1,0
58517502,"Believe Me (Shatter Me, #6.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0063228319""","=""9780063228313""",5.0,HarperCollins,Paperback,177,2021,2021,2024/04/09,2024/12/05,"bought, dystopian","bought (#20), dystopian (#6)",read,,,,1,0
40772063,"The Lost Sisters (The Folk of the Air, #1.5)",Holly Black,"Black, Holly",,"=""""","=""9780316310444""",0,NOVL,Kindle Edition,50,2018,2018,2024/04/28,2024/12/05,"not-bought, romantasy","not-bought (#22), romantasy (#2)",read,,,,1,0
55761476,"Kill Joy (A Good Girl's Guide to Murder, #0.5)",Holly  Jackson,"Jackson, Holly",,"=""""","=""""",0,Electric Monkey,Kindle Edition,130,2021,2021,2024/04/25,2024/12/05,"bought, mystery","bought (#35), mystery (#1)",read,,,,1,0
58857738,Psychology 7th edition,Peter O. Gray,"Gray, Peter O.",David F. Bjorklund,"=""""","=""""",0,,Unknown Binding,,,,,2025/10/19,"to-read, nonfiction","to-read (#123), nonfiction (#1)",to-read,,,,0,0
218064435,Banished by Darkness (Emilia of the Solstice Realm Book 2),Daphne Paige,"Paige, Daphne",,"=""""","=""""",0,Popcorn Publishing,Kindle Edition,390,2024,,,2025/05/14,to-read,to-read (#100),to-read,,,,0,0
